rootId:START_ID,rootId:END_ID,surah:int,verse:int,:TYPE
4,52,2,30,OCCURS
4,138,2,30,OCCURS
4,51,2,30,OCCURS
4,139,2,30,OCCURS
4,140,2,30,OCCURS
4,141,2,30,OCCURS
4,3,2,30,OCCURS
4,142,2,30,OCCURS
4,5,2,30,OCCURS
6,80,2,30,OCCURS
6,52,2,30,OCCURS
6,138,2,30,OCCURS
6,51,2,30,OCCURS
6,139,2,30,OCCURS
6,140,2,30,OCCURS
6,141,2,30,OCCURS
6,3,2,30,OCCURS
6,142,2,30,OCCURS
6,5,2,30,OCCURS
80,52,2,30,OCCURS
80,138,2,30,OCCURS
80,51,2,30,OCCURS
80,139,2,30,OCCURS
80,140,2,30,OCCURS
80,141,2,30,OCCURS
80,3,2,30,OCCURS
80,142,2,30,OCCURS
80,5,2,30,OCCURS
52,138,2,30,OCCURS
52,51,2,30,OCCURS
52,139,2,30,OCCURS
52,140,2,30,OCCURS
52,141,2,30,OCCURS
52,3,2,30,OCCURS
52,142,2,30,OCCURS
52,5,2,30,OCCURS
138,51,2,30,OCCURS
138,139,2,30,OCCURS
138,140,2,30,OCCURS
138,141,2,30,OCCURS
138,3,2,30,OCCURS
138,142,2,30,OCCURS
138,5,2,30,OCCURS
51,139,2,30,OCCURS
51,140,2,30,OCCURS
51,141,2,30,OCCURS
51,3,2,30,OCCURS
51,142,2,30,OCCURS
51,5,2,30,OCCURS
139,140,2,30,OCCURS
139,141,2,30,OCCURS
139,3,2,30,OCCURS
139,142,2,30,OCCURS
139,5,2,30,OCCURS
140,141,2,30,OCCURS
140,3,2,30,OCCURS
140,142,2,30,OCCURS
140,5,2,30,OCCURS
141,3,2,30,OCCURS
141,142,2,30,OCCURS
141,5,2,30,OCCURS
3,142,2,30,OCCURS
3,5,2,30,OCCURS
142,5,2,30,OCCURS
5,1,2,31,OCCURS
5,89,2,31,OCCURS
5,143,2,31,OCCURS
5,6,2,31,OCCURS
5,42,2,31,OCCURS
5,144,2,31,OCCURS
